GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
PIP4K2C,x,8,2,0,0.344,0.8965,1.061,0.0482685437274794,0.151732984293194,0.6574689265536721,1.0,1.0,1.0
CSNK2A1,x,8,1,1,0.757,0.9155,1.243,0.0486014876945714,0.152204188481675,0.6574689265536721,0.375010651983279,0.627994764397906,1.0
TRIM28,x,8,2,0,0.77,0.885,1.064,0.0486681287929466,0.152319371727749,0.6574689265536721,0.9765965711062572,0.974439790575916,1.0
CSNK1E,x,8,2,1,0.153,0.895,1.223,0.0549893975534177,0.167104712041885,0.7172359550561801,0.407084086919056,0.656293193717277,1.0
PAK2,x,8,3,1,0.541,0.922,1.183,0.0568497756896993,0.171890052356021,0.733653631284916,0.6406394152077189,0.818973821989529,1.0
PRKRA,x,8,1,0,0.785,0.9195,1.037,0.0578173127738072,0.174230366492147,0.7395111111111109,1.0,1.0,1.0
MAPK3,x,8,3,0,0.753,0.925,1.029,0.0643063866745739,0.189314136125654,0.799093922651934,1.0,1.0,1.0
ACVR2B,x,8,0,0,0.805,0.9285,1.139,0.0662068655106359,0.192958115183246,0.81,0.823149975431473,0.907680628272251,1.0
TBRG4,x,8,2,0,0.797,0.9265,1.088,0.067915534342983,0.197120418848168,0.8229508196721309,0.783235685740415,0.8882356020942409,1.0
BRAF,x,8,0,0,0.884,0.932,0.972,0.0705471645795015,0.203,0.836838709677419,1.0,1.0,1.0
NEK9,x,8,0,2,0.8109999999999999,0.9295,1.265,0.0708334786437978,0.203534031413613,0.836838709677419,0.149267602300091,0.361198952879581,0.9744689655172408
SCYL3,x,8,1,0,0.8490000000000001,0.9335,1.064,0.0709769232415014,0.203732984293194,0.836838709677419,0.9765482730627107,0.974361256544503,1.0
STK4,x,8,2,0,0.73,0.9095,1.092,0.0723069903037536,0.206607329842932,0.844106951871658,0.943384519293357,0.9570209424083772,1.0
UCK1,x,8,2,0,0.812,0.911,1.196,0.0784784466199813,0.22051832460733,0.8959365079365079,0.5933587237868361,0.7897277486911001,1.0
STK38L,x,8,0,0,0.879,0.9385,1.027,0.0791639905524689,0.221638743455497,0.8959365079365079,1.0,1.0,1.0
BTK,x,8,1,0,0.843,0.9365,1.029,0.0818139411468837,0.22680104712041896,0.911978947368421,1.0,1.0,1.0
TYK2,x,8,0,0,0.8170000000000001,0.94,1.074,0.0882744953037169,0.239513089005236,0.958052356020942,0.967343179851113,0.969,1.0
CKB,x,8,1,0,0.787,0.934,1.185,0.0975036308730175,0.256287958115183,1.0,0.633735862953834,0.8152460732984291,1.0
MOS,x,8,0,0,0.843,0.916,1.152,0.0985809003698071,0.25751832460733,1.0,0.7741822447789721,0.8841361256544499,1.0
TWF1,x,8,3,0,0.597,0.953,1.137,0.101300520864842,0.262937172774869,1.0,0.7528317503951859,0.8741465968586389,1.0
PCK2,x,8,1,0,0.768,0.9455,1.236,0.10211752735202803,0.26397905759162305,1.0,0.300595613158956,0.553256544502618,1.0
RPS6KB2,x,8,2,0,0.677,0.9215,1.093,0.10444328884756,0.26769109947644,1.0,0.942436891325089,0.9566806282722512,1.0
GRK6,x,8,1,0,0.748,0.9305,1.17,0.11448576604625098,0.284738219895288,1.0,0.702321949511508,0.8514240837696341,1.0
CDK5R1,x,8,2,0,0.831,0.944,1.16,0.11992690835371,0.293811518324607,1.0,0.41189284823429,0.6602408376963349,1.0
FGR,x,8,0,2,0.87,0.9415,1.3,0.125035038988844,0.3018115183246069,1.0,0.15472904709779906,0.369638743455497,0.9744689655172408
MAP2K1,x,8,1,1,0.669,0.922,1.169,0.13001765240368698,0.310041884816754,1.0,0.70499119138623,0.852937172774869,1.0
MAST3,x,8,0,0,0.888,0.927,1.07,0.132668905446301,0.31387958115183195,1.0,1.0,1.0,1.0
SH3BP5L,x,8,1,0,0.7559999999999999,0.954,1.242,0.134859126257943,0.317450261780105,1.0,0.377570113407139,0.63038219895288,1.0
DGKG,x,8,1,1,0.111,1.077,1.238,0.143533565389243,0.33076963350785304,1.0,0.14981927325668498,0.361748691099476,0.9744689655172408
TLK1,x,8,0,1,0.828,0.9595,1.341,0.143555045470683,0.330869109947644,1.0,0.0820040617484197,0.23529319371727694,0.84385046728972
MPP2,x,8,3,0,0.674,0.952,1.127,0.148425917675382,0.338083769633508,1.0,0.8659322788385351,0.9284083769633508,1.0
CD2,x,8,0,2,0.8370000000000001,0.9335,1.319,0.14942245786842198,0.33969109947644005,1.0,0.114975346275422,0.299785340314136,0.916144
PKLR,x,8,1,0,0.782,0.936,1.115,0.152271005018721,0.343947643979058,1.0,0.7162375066190301,0.858157068062827,1.0
TSSK4,x,8,1,0,0.7,0.9435,1.12,0.165830739480934,0.3646963350785339,1.0,0.884676122374625,0.9365340314136128,1.0
TEC,x,8,0,0,0.888,0.9505,1.081,0.16828303901339098,0.36851832460733,1.0,0.6738694274101159,0.8374083769633509,1.0
ADK,x,8,2,1,0.789,0.9445,1.1909999999999998,0.16855660264034494,0.368738219895288,1.0,0.6111969826118461,0.80120942408377,1.0
PPIP5K2,x,8,2,1,0.677,0.9375,1.234,0.17240917451352802,0.374717277486911,1.0,0.4148765784069279,0.662570680628272,1.0
CHEK2,x,8,0,0,0.888,0.992,1.154,0.17490806150515806,0.37832460732984297,1.0,0.508645873902955,0.7316649214659691,1.0
BCR,x,8,0,2,0.8320000000000001,0.943,1.229,0.17911119286009602,0.384486910994764,1.0,0.19199435093074896,0.422439790575916,1.0
STRADB,x,8,2,1,0.7020000000000001,0.946,1.154,0.19492436098006505,0.406664921465969,1.0,0.7677915902799991,0.8811937172774871,1.0
ATP23,x,8,0,0,0.8390000000000001,0.9405,1.138,0.199640343750998,0.41369109947644,1.0,0.825962081605807,0.9091623036649208,1.0
WNK4,x,8,1,0,0.826,0.9405,1.101,0.201719629247775,0.416769633507853,1.0,0.926196970989336,0.951005235602094,1.0
MAP3K19,x,8,0,0,0.862,0.9445,1.179,0.202912140826281,0.41836649214659705,1.0,0.6636652828811379,0.8322041884816751,1.0
PI4K2B,x,8,0,0,0.8640000000000001,0.992,1.082,0.206809481083958,0.423910994764398,1.0,0.6917736462624929,0.846502617801047,1.0
STRADA,x,8,1,0,0.777,0.951,1.102,0.207411996813012,0.42445549738219895,1.0,0.9243311670898507,0.950429319371728,1.0
WNK3,x,8,2,0,0.767,0.9425,1.215,0.207713545663381,0.4248062827225129,1.0,0.5035697459720619,0.7279109947643979,1.0
SPHK2,x,8,1,0,0.738,0.937,1.014,0.210436180670215,0.428434554973822,1.0,1.0,1.0,1.0
ARAF,x,8,2,0,0.795,0.937,1.114,0.21104332779206694,0.4296963350785339,1.0,0.8859065404664449,0.937068062827225,1.0
IGFN1,x,8,1,0,0.735,0.998,1.181,0.212093614646613,0.430952879581152,1.0,0.649495186591952,0.824471204188482,1.0
CSNK1G2,x,8,0,2,0.7809999999999999,0.9985,1.233,0.21225992008259806,0.431078534031414,1.0,0.152460885545388,0.365821989528796,0.9744689655172408
MKNK1,x,8,0,0,0.855,0.9445,1.1909999999999998,0.21838843719293,0.43955497382199,1.0,0.6117608226557351,0.801701570680628,1.0
NEK1,x,8,2,0,0.726,0.9365,1.136,0.22024164415323705,0.441685863874346,1.0,0.29792512414701505,0.550010471204188,1.0
TSSK2,n,8,1,1,0.753,0.942,1.188,0.221480832432572,0.44382722513089,1.0,0.626716544153199,0.8113717277486908,1.0
NEK8,x,8,0,0,0.867,0.9265,1.099,0.222722979214282,0.4455392670157071,1.0,0.931307891524162,0.952848167539267,1.0
CKMT1A,x,8,0,0,0.8640000000000001,0.9515,1.204,0.225841204121993,0.449649214659686,1.0,0.554251668179319,0.763115183246073,1.0
CAMKV,x,8,0,0,0.909,0.9655,1.112,0.230868142254052,0.456916230366492,1.0,0.90311112293383,0.943303664921466,1.0
PIK3R3,x,8,0,0,0.85,0.942,1.147,0.23118385380267706,0.45717277486911,1.0,0.529875371708027,0.7465654450261779,1.0
TAOK2,x,8,0,0,0.841,0.95,1.098,0.234668414998139,0.461293193717278,1.0,0.86865228031203,0.9295026178010468,1.0
C17orf75,x,8,2,0,0.732,1.0265,1.09,0.23629297000597,0.463544502617801,1.0,0.498186207256812,0.724183246073298,1.0
MPP3,x,8,0,0,0.851,0.989,1.155,0.240416270342151,0.468350785340314,1.0,0.7590248453674449,0.8770732984293191,1.0
