GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
INTS6,x,4,3,0,0.328,0.464,1.159,0.00190507862090046,0.00659,0.08846056882022472,0.762803027785761,0.77198,1.0
RRP7A,x,4,1,0,0.32,0.7285,0.769,0.0019063600138629398,0.00659,0.08846056882022472,1.0,1.0,1.0
PRC1,x,4,2,0,0.045,0.6165,0.769,0.00190777418375032,0.00661,0.08866677192982457,1.0,1.0,1.0
SEC13,p,4,3,0,0.233,0.473,0.82,0.00191052099755087,0.006670000000000001,0.08940887096774194,1.0,1.0,1.0
ISCA1,x,4,3,1,0.16699999999999998,0.3325,1.745,0.0019159734947841601,0.006679999999999999,0.08948016818500348,0.0290688966690141,0.08257,0.7824054953178906
RPP25L,x,4,3,0,0.133,0.331,1.083,0.0019168832288647601,0.006690000000000001,0.0895513655462185,1.0,1.0,1.0
USP17L15,x,4,3,0,0.307,0.4475,1.0659999999999998,0.0019369686430308801,0.00674,0.09009447552447554,1.0,1.0,1.0
RNF4,x,4,3,0,0.378,0.459,0.81,0.0019433880867508696,0.00674,0.09009447552447554,1.0,1.0,1.0
CINP,p,4,3,1,0.104,0.476,1.543,0.0019452247558103199,0.00675,0.09016509433962265,0.133825443176533,0.2686,0.9616441786581946
RPL10A,p,4,3,0,0.199,0.3665,0.924,0.0019507415471167,0.00677,0.09030603628750872,1.0,1.0,1.0
RAB18,x,4,3,0,0.16899999999999998,0.3405,0.777,0.0019516620020983398,0.00677,0.09030603628750872,1.0,1.0,1.0
MCM3AP,p,4,3,0,0.224,0.4195,0.7709999999999999,0.0019701305616828,0.00685,0.0913094490934449,1.0,1.0,1.0
TIMM23,p,4,3,0,0.118,0.435,0.967,0.00197198365339088,0.00686,0.0913790243902439,1.0,1.0,1.0
PM20D1,x,4,3,0,0.47,0.66,0.772,0.0019955371541939,0.006940000000000001,0.09225180806675941,1.0,1.0,1.0
UBXN7,x,4,2,0,0.498,0.6579999999999999,0.772,0.0019960248966142,0.006940000000000001,0.09225180806675941,1.0,1.0,1.0
RAB3GAP2,x,4,3,0,0.5,0.701,0.772,0.00200139596629196,0.006940000000000001,0.09225180806675941,1.0,1.0,1.0
MST1L,x,4,3,0,0.34,0.475,0.887,0.00200178769738542,0.00695,0.09232053509381515,1.0,1.0,1.0
OPA1,x,4,3,0,0.246,0.3795,0.7909999999999999,0.002009284259787461,0.0069900000000000006,0.0927230048577377,1.0,1.0,1.0
NDUFA13,p,4,3,0,0.387,0.527,0.772,0.0020121706174183397,0.0069900000000000006,0.0927230048577377,1.0,1.0,1.0
FTSJ3,p,4,2,0,0.031,0.5635,0.775,0.00201299349731588,0.006999999999999999,0.09279126213592233,1.0,1.0,1.0
TMEM258,p,4,3,0,0.311,0.4805,0.833,0.00201962185333945,0.00702,0.09299189189189189,1.0,1.0,1.0
ATP5PO,p,4,3,1,0.297,0.4155,1.301,0.00202056334830245,0.00703,0.09305986842105263,0.488111691884939,0.61455,1.0
SMARCB1,x,4,3,0,0.387,0.4625,0.78,0.00203661252059994,0.00705,0.09319553941908713,1.0,1.0,1.0
SNW1,p,4,3,0,0.156,0.4685,0.933,0.0020413486118346803,0.00705,0.09319553941908713,1.0,1.0,1.0
SLC20A1,x,4,4,0,0.127,0.4905,0.773,0.0020477374937610004,0.007109999999999998,0.09372941379310343,1.0,1.0,1.0
CHAF1B,p,4,3,0,0.185,0.422,0.774,0.00204972715778509,0.007109999999999998,0.09372941379310343,1.0,1.0,1.0
YAE1,x,4,3,0,0.2,0.383,0.994,0.0020508422979542,0.007109999999999998,0.09372941379310343,1.0,1.0,1.0
NEPRO,p,4,3,0,0.262,0.4825,1.002,0.0020536959993044,0.007109999999999998,0.09372941379310343,1.0,1.0,1.0
PSMA1,p,4,3,1,0.128,0.3615,1.601,0.00206895941346411,0.00717,0.0944552377670572,0.08993013591414999,0.19762,0.9225551707317072
OSBP,x,4,3,0,0.321,0.474,0.8740000000000001,0.00207087251702317,0.00718,0.09452183195592286,1.0,1.0,1.0
DPH6,x,4,3,0,0.223,0.398,1.288,0.0020785364487458,0.00719,0.09458833448038541,0.515100983520649,0.63131,1.0
MRPL40,x,4,3,0,0.214,0.398,1.038,0.0020794957365711697,0.0072099999999999985,0.0947210652920962,1.0,1.0,1.0
SAE1,p,4,3,0,0.35700000000000004,0.5505,0.774,0.00208528556733885,0.0072099999999999985,0.0947210652920962,1.0,1.0,1.0
