partner_a,partner_b
SLC18A1,DRD5
SLC18A2,DRD1
SLC18A2,DRD2
SLC18A2,DRD3
SLC18A2,DRD4
SLC18A2,DRD5
SLC32A1,GABBR1
GAD1,GABBR1
SLC32A1,GABBR2
GAD1,GABBR2
SLC6A1,GABBR1
SLC6A1,GABBR2
SLC6A11,GABBR1
SLC6A11,GABBR2
SLC6A12,GABBR1
SLC6A12,GABBR2
SLC6A13,GABBR1
SLC6A13,GABBR2
SLC6A6,GABBR1
SLC6A6,GABBR2
SLC6A8,GABBR1
SLC6A8,GABBR2
GAD2,GABBR1
GAD2,GABBR2
SLC17A6,GRIA1
GLS,GRIA1
SLC17A6,GRIA2
GLS,GRIA2
SLC17A6,GRIA3
GLS,GRIA3
SLC17A6,GRIA4
GLS,GRIA4
SLC17A6,GRIK1
GLS,GRIK1
SLC17A6,GRIK2
GLS,GRIK2
SLC17A6,GRIK3
GLS,GRIK3
SLC17A6,GRM1
GLS,GRM1
SLC17A6,GRM2
GLS,GRM2
SLC17A6,GRM3
GLS,GRM3
SLC17A6,GRM4
GLS,GRM4
SLC17A6,GRM5
GLS,GRM5
SLC17A6,GRM6
GLS,GRM6
SLC17A6,GRM7
GLS,GRM7
SLC17A6,GRM8
GLS,GRM8
SLC17A7,GRIA1
SLC17A7,GRIA2
SLC17A7,GRIA3
SLC17A7,GRIA4
SLC17A7,GRIK1
SLC17A7,GRIK2
SLC17A7,GRIK3
SLC17A7,GRM1
SLC17A7,GRM2
SLC17A7,GRM3
SLC17A7,GRM4
SLC17A7,GRM5
SLC17A7,GRM6
SLC17A7,GRM7
SLC17A7,GRM8
SLC17A8,GRIA1
SLC17A8,GRIA2
SLC17A8,GRIA3
SLC17A8,GRIA4
SLC17A8,GRIK1
SLC17A8,GRIK2
SLC17A8,GRIK3
SLC17A8,GRM1
SLC17A8,GRM2
SLC17A8,GRM3
SLC17A8,GRM4
SLC17A8,GRM5
SLC17A8,GRM6
SLC17A8,GRM7
